timestamp,left_eye_gaze_position_x,left_eye_gaze_position_y,left_eye_pupil_diameter_mm,left_eye_pupil_position_x,left_eye_pupil_position_y,left_eye_pupil_position_z,left_eye_visual_angle_theta,left_eye_visual_angle_phi,left_eye_visual_angle_vector_x,left_eye_visual_angle_vector_y,left_eye_visual_angle_vector_z,left_eye_pixels_per_degree_x,left_eye_pixels_per_degree_y,left_eye_valid,right_eye_gaze_position_x,right_eye_gaze_position_y,right_eye_pupil_diameter_mm,right_eye_pupil_position_x,right_eye_pupil_position_y,right_eye_pupil_position_z,right_eye_visual_angle_theta,right_eye_visual_angle_phi,right_eye_visual_angle_vector_x,right_eye_visual_angle_vector_y,right_eye_visual_angle_vector_z,right_eye_pixels_per_degree_x,right_eye_pixels_per_degree_y,right_eye_valid,bino_eye_gaze_position_x,bino_eye_gaze_position_y,bino_eye_valid,trigger
1705365596089900,958.924,195.723,2.23516,123.675,74.4354,-549.527,5.03569,-4.0821,0.0875536,-0.0711858,0.993613,57.8348,57.8348,1,960.404,220.799,2.03584,190.237,79.6405,-545.947,-1.91363,-4.19149,-0.0333037,-0.0730901,0.996769,57.8348,57.8348,1,959.658,193.045,1,0
1705365601019600,959.085,195.558,2.22188,123.704,74.4631,-549.44,5.03569,-4.0821,0.0875536,-0.0711858,0.993613,57.8316,57.8316,1,960.533,220.961,2.04785,190.261,79.6302,-545.971,-1.91363,-4.19149,-0.0333037,-0.0730901,0.996769,57.8316,57.8316,1,959.806,193.043,1,0
1705365606013700,959.354,195.596,2.21948,123.749,74.4647,-549.392,5.03569,-4.0821,0.0875536,-0.0711858,0.993613,57.8277,57.8277,1,961.523,220.934,2.05855,190.305,79.6441,-545.94,-1.9001,-4.19149,-0.0330683,-0.0730901,0.996777,57.8277,57.8277,1,960.446,193.05,1,0
1705365611081200,959.462,195.618,2.22266,123.786,74.5045,-549.239,5.03569,-4.0821,0.0875536,-0.0711858,0.993613,57.826,57.826,1,961.677,211.2,2.04753,190.336,79.6061,-546.057,-1.9001,-4.37134,-0.0330605,-0.0762203,0.996543,57.826,57.826,1,960.58,187.498,1,0
1705365616034700,959.462,195.618,2.22266,123.786,74.5045,-549.239,5.03569,-4.0821,0.0875536,-0.0711858,0.993613,57.826,57.826,1,961.677,211.2,2.04753,190.336,79.6061,-546.057,-1.9001,-4.37134,-0.0330605,-0.0762203,0.996543,57.826,57.826,1,960.58,187.498,1,0
1705365620974800,959.58,195.544,2.23167,123.791,74.4507,-549.383,5.03569,-4.0821,0.0875536,-0.0711858,0.993613,57.8358,57.8358,1,961.953,210.471,2.03984,190.358,79.601,-546.105,-1.9001,-4.37134,-0.0330605,-0.0762203,0.996543,57.8358,57.8358,1,960.781,187.039,1,0
1705365626061800,959.679,195.994,2.26405,123.825,74.4999,-549.201,5.03569,-4.0821,0.0875536,-0.0711858,0.993613,57.8242,57.8242,1,962.126,211.009,2.04837,190.385,79.6233,-546.061,-1.9001,-4.37134,-0.0330605,-0.0762203,0.996543,57.8242,57.8242,1,960.919,187.604,1,0
1705365630971500,959.679,195.994,2.26405,123.825,74.4999,-549.201,5.03569,-4.0821,0.0875536,-0.0711858,0.993613,57.8242,57.8242,1,962.126,211.009,2.04837,190.385,79.6233,-546.061,-1.9001,-4.37134,-0.0330605,-0.0762203,0.996543,57.8242,57.8242,1,960.919,187.604,1,0
1705365636051300,959.749,195.956,2.238,123.838,74.4901,-549.241,5.03569,-4.0821,0.0875536,-0.0711858,0.993613,57.8275,57.8275,1,962.197,211.194,2.02698,190.406,79.6312,-546.089,-1.9001,-4.37134,-0.0330605,-0.0762203,0.996543,57.8275,57.8275,1,960.99,187.688,1,0
1705365640971400,959.814,195.828,2.20477,123.851,74.471,-549.346,5.03569,-4.0821,0.0875536,-0.0711858,0.993613,57.8259,57.8259,1,962.323,211.508,2.00462,190.442,79.6939,-545.963,-1.9001,-4.37134,-0.0330605,-0.0762203,0.996543,57.8259,57.8259,1,961.088,187.794,1,0
